16 4330 15933
0 0 0.269937 0.659486
1 0 0.326338 0.543394
0 1 0.21796 0.635162
1 1 0.27989 0.525704
0 2 -0.00874906 0.625212
1 2 0.0697696 0.533443
0 3 -0.109386 0.580986
1 3 -0.0297611 0.50138
0 4 -0.111597 0.578775
1 4 -0.030867 0.499168
0 5 -0.118233 0.578775
1 5 -0.0375024 0.50138
0 6 -0.149198 0.567718
1 6 -0.0673616 0.492534
0 7 -0.00874906 0.563296
1 7 0.065346 0.479267
0 8 -0.0474555 0.545605
1 8 0.0288514 0.465999
0 9 -0.0861618 0.535655
1 9 -0.00874906 0.460471
0 10 -0.0883736 0.531232
1 10 -0.0109608 0.456048
0 11 -0.122656 0.524598
1 11 -0.0441378 0.452731
0 12 -0.073997 0.523492
1 12 0.00230992 0.449414
0 13 -0.113809 0.522387
1 13 -0.0363965 0.45052
0 14 -0.12708 0.522387
1 14 -0.0485613 0.451626
0 15 -0.278588 0.520176
1 15 -0.193434 0.459365
0 16 -0.130398 0.517964
1 16 -0.051879 0.447203
0 17 -0.137033 0.517964
1 17 -0.0585144 0.448309
0 18 -0.296282 0.515753
1 18 -0.214446 0.457154
0 19 -0.121551 0.514647
1 19 -0.0441378 0.443886
0 20 -0.291859 0.514647
1 20 -0.208916 0.454943
0 21 -0.125974 0.513542
1 21 -0.0485613 0.442781
0 22 -0.2996 0.513542
1 22 -0.217764 0.453837
0 23 -0.122656 0.508013
1 23 -0.0452437 0.438358
0 24 -0.120445 0.505802
1 24 -0.0430319 0.436147
0 25 -0.32393 0.503591
1 25 -0.240987 0.446098
0 26 -0.38033 0.484795
1 26 -0.296282 0.433935
0 27 -0.378119 0.483689
1 27 -0.29407 0.43283
0 28 -0.383648 0.482584
1 28 -0.301812 0.431724
0 29 -0.492026 0.441675
1 29 -0.411296 0.400766
0 30 0.0686637 0.311209
1 30 0.121747 0.249293
0 31 -0.0242316 -0.395296
1 31 0.0166866 -0.406353
0 32 -0.100539 -0.382029
1 32 -0.0618321 -0.394191
0 33 -0.123762 -0.375395
1 33 -0.0784206 -0.386451
0 34 -0.273058 0.0104744
1 34 -0.202281 -0.0149553
0 35 -0.00985495 -0.0061102
1 35 0.033275 -0.0370682
0 36 -0.0695734 -0.337803
1 36 -0.0275493 -0.351071
0 37 -0.0828442 -0.321218
1 37 -0.0441378 -0.334486
0 38 -0.00874906 -0.316796
1 38 0.0288514 -0.331169
0 39 -0.073997 -0.312373
1 39 -0.0341847 -0.326746
0 40 -0.0352906 -0.312373
1 40 0.012263 -0.326746
0 41 -0.0806324 -0.311267
1 41 -0.0430319 -0.324535
0 42 -0.0717852 -0.307951
1 42 -0.0286552 -0.32343
0 43 -0.0773147 -0.304634
1 43 -0.0363965 -0.320113
0 44 -0.0695734 -0.304634
1 44 -0.0231257 -0.319007
0 45 -0.0618321 -0.304634
1 45 -0.0142785 -0.319007
0 46 -0.0839501 -0.302422
1 46 -0.0397142 -0.317901
0 47 -0.0861618 -0.300211
1 47 -0.0430319 -0.314584
0 48 -0.051879 -0.299105
1 48 -0.00653726 -0.314584
0 49 -0.0330788 -0.299105
1 49 0.0111571 -0.314584
0 50 -0.0618321 -0.298
1 50 -0.0164903 -0.313479
0 51 -0.0386083 -0.296894
1 51 0.00562761 -0.312373
0 52 -0.0341847 -0.296894
1 52 0.0078394 -0.311267
0 53 -0.0916913 -0.295788
1 53 -0.0496672 -0.311267
0 54 -0.0905854 -0.0271174
1 54 -0.030867 -0.0558641
0 55 -0.0684675 -0.294683
1 55 -0.0231257 -0.309056
0 56 -0.0839501 -0.293577
1 56 -0.0386083 -0.309056
0 57 -0.0651498 -0.293577
1 57 -0.019808 -0.307951
0 58 -0.0618321 -0.293577
1 58 -0.0164903 -0.309056
0 59 -0.0529849 -0.293577
1 59 -0.00653726 -0.307951
0 60 -0.0496672 -0.293577
1 60 -0.00432547 -0.309056
0 61 -0.0939031 -0.29026
1 61 -0.0507731 -0.305739
0 62 -0.0916913 -0.29026
1 62 -0.0474555 -0.305739
0 63 -0.0751029 -0.289155
1 63 -0.0297611 -0.304634
0 64 -0.101644 -0.288049
1 64 -0.0574085 -0.303528
0 65 -0.085056 -0.286943
1 65 -0.0397142 -0.302422
0 66 -0.0939031 -0.285838
1 66 -0.0485613 -0.301317
0 67 -0.103856 -0.284732
1 67 -0.0596203 -0.300211
0 68 -0.0994326 -0.284732
1 68 -0.0563026 -0.300211
0 69 -0.0806324 -0.284732
1 69 -0.0352906 -0.299105
0 70 -0.095009 -0.283626
1 70 -0.0507731 -0.299105
0 71 -0.103856 -0.282521
1 71 -0.0607262 -0.298
0 72 -0.095009 -0.281415
1 72 -0.0507731 -0.296894
0 73 -0.0916913 -0.279204
1 73 -0.0463496 -0.293577
0 74 -0.0640439 -0.275887
1 74 -0.0175962 -0.291366
0 75 -0.0983267 -0.274781
1 75 -0.0529849 -0.291366
0 76 -0.0784206 -0.274781
1 76 -0.0341847 -0.29026
0 77 -0.106068 -0.273676
1 77 -0.0618321 -0.289155
0 78 -0.0751029 -0.273676
1 78 -0.0264434 -0.289155
0 79 -0.10275 -0.271464
1 79 -0.0585144 -0.285838
0 80 -0.0673616 -0.271464
1 80 -0.0220198 -0.286943
0 81 -0.0817383 -0.270359
1 81 -0.0352906 -0.286943
0 82 -0.111597 -0.269253
1 82 -0.0651498 -0.285838
0 83 -0.00653726 -0.269253
1 83 0.0321691 -0.286943
