16 4842 19177
0 0 -0.109386 0.580986
1 0 -0.0297611 0.50138
0 1 -0.073997 0.523492
1 1 0.00230992 0.449414
0 2 -0.0762088 0.523492
1 2 9.81213e-05 0.449414
0 3 -0.0784206 -0.181907
1 3 -0.0330788 -0.202915
0 4 -0.0751029 -0.197386
1 4 -0.030867 -0.217288
0 5 -0.0883736 -0.202915
1 5 -0.041926 -0.222816
0 6 -0.121551 0.514647
1 6 -0.0441378 0.443886
0 7 -0.125974 0.513542
1 7 -0.0485613 0.442781
0 8 -0.0751029 -0.210654
1 8 -0.030867 -0.231661
0 9 -0.0905854 -0.210654
1 9 -0.0452437 -0.228344
0 10 -0.0640439 -0.239401
1 10 -0.0175962 -0.257091
0 11 -0.228823 -0.111146
1 11 -0.163796 -0.1295
0 12 -0.0430319 -0.463846
1 12 -0.00100778 -0.472691
0 13 -0.38033 0.484795
1 13 -0.296282 0.433935
0 14 -0.0795265 -0.213971
1 14 -0.0363965 -0.232767
0 15 -0.378119 0.483689
1 15 -0.29407 0.43283
0 16 -0.0762088 -0.215077
1 16 -0.0319729 -0.233873
0 17 -0.0916913 -0.298
1 17 -0.0485613 -0.314584
0 18 -0.0905854 -0.215077
1 18 -0.0463496 -0.233873
0 19 -0.0695734 -0.236084
1 19 -0.0220198 -0.253774
0 20 -0.062938 -0.216182
1 20 -0.0175962 -0.234978
0 21 -0.0751029 -0.217288
1 21 -0.030867 -0.236084
0 22 -0.0341847 -0.163111
1 22 0.0089453 -0.18633
0 23 -0.0585144 -0.162006
1 23 -0.0142785 -0.183013
0 24 -0.085056 -0.218394
1 24 -0.0397142 -0.236084
0 25 -0.0872677 -0.218394
1 25 -0.0430319 -0.237189
0 26 -0.0784206 -0.219499
1 26 -0.0341847 -0.239401
0 27 -0.0817383 -0.219499
1 27 -0.0375024 -0.238295
0 28 -0.0474555 -0.220605
1 28 -0.00321957 -0.239401
0 29 -0.0828442 -0.222816
1 29 -0.0386083 -0.241612
0 30 -0.0861618 -0.223922
1 30 -0.041926 -0.242718
0 31 0.0719814 0.00605187
1 31 -0.191664 -0.0697952
0 32 -0.062938 -0.0116384
1 32 0.0299574 -0.0374219
0 33 -0.00543136 -0.232767
1 33 0.0354868 -0.252668
0 34 -0.0695734 -0.337803
1 34 -0.0275493 -0.351071
0 35 -0.00100778 -0.335592
1 35 0.0421222 -0.351071
0 36 -0.0939031 -0.285838
1 36 -0.0485613 -0.301317
0 37 -0.0618321 -0.13547
1 37 -0.0164903 -0.158689
0 38 -0.0927972 -0.233873
1 38 -0.0485613 -0.251563
0 39 -0.104962 -0.234978
1 39 -0.0585144 -0.251563
0 40 -0.00764316 -0.236084
1 40 0.033275 -0.25488
0 41 -0.062938 -0.236084
1 41 -0.0142785 -0.253774
0 42 0.0089453 -0.0448077
1 42 0.0520753 -0.0757657
0 43 -0.0839501 -0.302422
1 43 -0.0397142 -0.317901
0 44 -0.0861618 -0.300211
1 44 -0.0430319 -0.314584
0 45 -0.00100778 -0.300211
1 45 0.0376986 -0.317901
0 46 -0.0618321 -0.298
1 46 -0.0164903 -0.313479
0 47 -0.0662557 -0.237189
1 47 -0.0187021 -0.25488
0 48 -0.0297611 -0.0536528
1 48 0.012263 -0.0835052
0 49 -0.0916913 -0.295788
1 49 -0.0496672 -0.311267
0 50 -0.0839501 -0.293577
1 50 -0.0386083 -0.309056
0 51 -0.0994326 -0.240506
1 51 -0.0540908 -0.258197
0 52 -0.00764316 -0.241612
1 52 0.033275 -0.261514
0 53 -0.0939031 -0.29026
1 53 -0.0507731 -0.305739
0 54 -0.0916913 -0.29026
1 54 -0.0474555 -0.305739
0 55 -0.0784206 -0.242718
1 55 -0.0310882 -0.26085
0 56 -0.0983267 -0.289155
1 56 -0.0529849 -0.305739
0 57 -0.00874906 -0.244929
1 57 0.0310632 -0.26483
0 58 -0.085056 -0.286943
1 58 -0.0397142 -0.302422
0 59 -0.103856 -0.284732
1 59 -0.0596203 -0.300211
0 60 -0.0994326 -0.284732
1 60 -0.0563026 -0.300211
0 61 -0.095009 -0.283626
1 61 -0.0507731 -0.299105
0 62 -0.0220198 -0.0669205
1 62 0.0200043 -0.0967729
0 63 -0.0662557 -0.246035
1 63 -0.0187021 -0.262619
0 64 -0.103856 -0.282521
1 64 -0.0607262 -0.298
0 65 -0.101644 -0.246035
1 65 -0.0574085 -0.262619
0 66 -0.00211367 -0.282521
1 66 0.0376986 -0.301317
0 67 -0.095009 -0.281415
1 67 -0.0507731 -0.296894
0 68 -0.085056 -0.280309
1 68 -0.0390506 -0.296673
0 69 -0.0916913 -0.279204
1 69 -0.0463496 -0.293577
0 70 9.81213e-05 -0.248246
1 70 0.0388045 -0.268147
0 71 -0.00321957 -0.250457
1 71 0.0365927 -0.269253
0 72 -0.0961149 -0.274781
1 72 -0.0529849 -0.291366
0 73 -0.106068 -0.273676
1 73 -0.0618321 -0.289155
0 74 -0.221081 -0.111146
1 74 -0.152516 -0.128836
0 75 -0.00321957 -0.271464
1 75 0.0354868 -0.29026
0 76 -0.111597 -0.269253
1 76 -0.0651498 -0.285838
0 77 -0.00985495 -0.268147
1 77 0.0321691 -0.286943
0 78 -0.0983267 -0.267042
1 78 -0.0529849 -0.282521
0 79 -0.167998 -0.101195
1 79 -0.106732 -0.122866
0 80 -0.00874906 -0.248246
1 80 0.033275 -0.267042
0 81 9.81213e-05 -0.261514
1 81 0.0376986 -0.280309
0 82 -0.100539 -0.260408
1 82 -0.0551967 -0.276993
0 83 -0.0529849 -0.293577
1 83 -0.00653726 -0.307951
0 84 -0.158488 -0.0525472
1 84 -0.100539 -0.0768713
0 85 -0.0297611 -0.0538739
1 85 0.0127054 -0.0830629
0 86 -0.110713 0.581649
1 86 -0.0297611 0.502043
0 87 -0.113367 0.581649
1 87 -0.0330788 0.502485
0 88 -0.0151632 -0.455885
1 88 0.023322 -0.4665
0 89 -0.0854983 -0.0313188
1 89 -0.0257799 -0.0597117
0 90 -0.11204 0.578996
1 90 -0.030867 0.499168
0 91 -0.118675 0.578996
1 91 -0.0375024 0.50138
0 92 -0.109386 -0.100311
1 92 -0.0618321 -0.123308
0 93 -0.226168 -0.109598
1 93 -0.158488 -0.128173
0 94 -0.165123 -0.112252
1 94 -0.104077 -0.13348
0 95 -0.222187 -0.112252
1 95 -0.153179 -0.128173
0 96 -0.155833 -0.113579
1 96 -0.095009 -0.134365
0 97 -0.303139 0.0456339
1 97 -0.245544 0.0198945
0 98 -0.0430318 -0.12552
1 98 0.00120402 -0.149844
0 99 -0.00720077 -0.359031
1 99 0.0326115 -0.373626
0 100 -0.0523214 -0.142768
1 100 -0.00720077 -0.165323
0 101 -0.0536484 -0.150728
1 101 -0.00874906 -0.174168
0 102 -0.0430318 -0.152055
1 102 0.000761666 -0.17461
0 103 0.0140324 -0.340456
1 103 0.0564989 -0.355051
0 104 -0.0377235 -0.166649
1 104 0.00452171 -0.190752
0 105 -0.0403777 -0.167976
1 105 0.00230992 -0.190752
0 106 -0.0868254 -0.337803
1 106 -0.0443589 -0.351071
0 107 -0.0695734 -0.337803
1 107 -0.0271069 -0.351071
0 108 -0.0509943 -0.169303
1 108 -0.00653726 -0.190752
0 109 -0.0788629 -0.325862
1 109 -0.0341847 -0.340014
0 110 -0.292522 0.515311
1 110 -0.208916 0.455606
0 111 -0.0762087 -0.198492
1 111 -0.0310882 -0.217067
0 112 -0.0403777 -0.202472
1 112 0.00230992 -0.22171
0 113 -0.00587372 -0.304634
1 113 0.0321691 -0.321218
0 114 -0.0868254 -0.303307
1 114 -0.0430318 -0.317901
0 115 -0.08019 -0.303307
1 115 -0.0377235 -0.317901
0 116 -0.00056539 -0.300653
1 116 0.0379198 -0.316575
0 117 -0.0748817 -0.210433
1 117 -0.0310882 -0.230334
0 118 -0.0908066 -0.213086
1 118 -0.0470131 -0.231661
0 119 -0.0841712 -0.295346
1 119 -0.0401123 -0.311267
0 120 -0.0908066 -0.294019
1 120 -0.0483402 -0.311267
0 121 -0.0483402 -0.21574
1 121 -0.00211367 -0.234978
0 122 -0.0841712 -0.217067
1 122 -0.0403777 -0.235642
0 123 -0.0894795 -0.217067
1 123 -0.045686 -0.235642
0 124 -0.0828441 -0.21972
1 124 -0.0377235 -0.238295
0 125 -0.10275 -0.288712
1 125 -0.0589568 -0.304634
0 126 -0.0841712 -0.223701
1 126 -0.0390506 -0.242275
0 127 -0.0868254 -0.223701
1 127 -0.0417048 -0.242275
0 128 -0.0854983 -0.287386
1 128 -0.0403777 -0.30198
0 129 -0.104077 -0.284732
1 129 -0.0589568 -0.300653
0 130 -0.100096 -0.284732
1 130 -0.0563026 -0.300653
0 131 -0.104077 -0.280752
1 131 -0.0602838 -0.298
0 132 0.0100512 -0.279425
1 132 0.0511906 -0.298
0 133 -0.0921337 -0.278098
1 133 -0.0470131 -0.294019
0 134 -0.0616109 -0.232988
1 134 -0.0138362 -0.251563
0 135 -0.101423 -0.274118
1 135 -0.0551967 -0.29026
0 136 -0.00321954 -0.271464
1 136 0.0352657 -0.290039
0 137 -0.0655922 -0.236968
1 137 -0.0178174 -0.254216
0 138 -0.00321954 -0.239622
1 138 0.0365928 -0.259523
0 139 -0.100096 -0.266157
1 139 -0.0536484 -0.283405
0 140 -0.10275 -0.246256
1 140 -0.0576297 -0.262177
0 141 0.000761666 -0.250236
1 141 0.0392469 -0.268811
0 142 -0.00852786 -0.262177
1 142 0.0310632 -0.280309
0 143 -0.00454663 -0.262177
1 143 0.0352657 -0.280752
0 144 -0.101423 -0.26085
1 144 -0.0549755 -0.276771
0 145 -0.097442 -0.251563
1 145 -0.0523214 -0.268811
0 146 0.0047429 -0.259523
1 146 0.0432281 -0.279204
0 147 0.00208876 -0.255543
1 147 0.0410163 -0.275887
0 148 -0.289868 0.515311
1 148 -0.210509 0.456137
0 149 -0.0775358 -0.191858
1 149 -0.0310882 -0.21176
0 150 -0.0470131 -0.149401
1 150 -0.00432547 -0.171957
0 151 -0.0669192 -0.240949
1 151 -0.0191445 -0.258197
0 152 -0.0934607 -0.239622
1 152 -0.0483402 -0.25687
0 153 -0.0854983 -0.202472
1 153 -0.0417048 -0.222374
0 154 -0.0496672 -0.21972
1 154 -0.00321954 -0.239622
0 155 -0.114694 -0.230334
1 155 -0.0669192 -0.246256
0 156 -0.228823 -0.110925
1 156 -0.164327 -0.129765
0 157 -0.0324152 0.610838
1 157 0.0454399 0.521281
0 158 -0.0496672 -0.291366
1 158 -0.00454663 -0.30596
0 159 -0.0576297 -0.397508
1 159 -0.0164903 -0.410775
0 160 -0.0775358 -0.17063
1 160 -0.0319729 -0.191858
0 161 -0.0775358 -0.0339723
1 161 -0.00432547 -0.0580754
0 162 -0.0496672 -0.294019
1 162 -0.00432547 -0.309056
0 163 -0.0669192 -0.246256
1 163 -0.0204715 -0.263504
0 164 -0.0841712 -0.21176
1 164 -0.0377235 -0.231661
0 165 -0.0616109 -0.299327
1 165 -0.0164903 -0.313921
0 166 -0.120002 -0.0565275
1 166 -0.0717852 -0.0823995
0 167 -0.0464823 -0.148871
1 167 -0.00348497 -0.17116
0 168 -0.00985492 -0.352663
1 168 0.0299574 -0.366992
0 169 -0.0958495 -0.293754
1 169 -0.0528522 -0.309675
0 170 -0.0321498 0.610573
1 170 0.0458823 0.521945
0 171 -0.110182 0.581915
1 171 -0.0289648 0.502308
0 172 -0.0894795 -0.228477
1 172 -0.0443589 -0.246256
0 173 -0.148402 0.567585
1 173 -0.0673616 0.492534
0 174 -0.207324 0.546888
1 174 -0.121329 0.479488
0 175 -0.0560372 -0.483217
1 175 -0.0146324 -0.49277
0 176 0.0697696 0.00238119
1 176 0.0904721 -0.0374219
0 177 -0.167512 -0.0995148
1 177 -0.106997 -0.120849
0 178 -0.278986 0.519822
1 178 -0.194319 0.459586
0 179 -0.0162249 -0.366992
1 179 0.0235874 -0.379729
0 180 -0.0432973 -0.207779
1 180 0.00208876 -0.229008
0 181 -0.111774 -0.344702
1 181 -0.0703696 -0.357439
0 182 -0.00507747 -0.324004
