15 5780 17501
0 0 -0.261295 -0.314766
1 0 -0.227676 -0.358475
0 1 0.524254 -0.304679
1 1 0.53434 -0.339422
0 2 0.47943 -0.27666
1 2 0.495118 -0.312524
0 3 -0.224315 -0.263211
1 3 -0.194058 -0.310283
0 4 0.454776 -0.26097
1 4 0.468224 -0.295713
0 5 -0.213109 -0.249762
1 5 -0.183973 -0.296834
0 6 -0.180611 -0.236313
1 6 -0.153716 -0.282264
0 7 0.395384 -0.235193
1 7 0.40771 -0.271057
0 8 -0.168284 -0.232951
1 8 -0.141389 -0.278902
0 9 -0.191817 -0.226227
1 9 -0.163802 -0.273298
0 10 -0.180611 -0.225106
1 10 -0.153268 -0.271953
0 11 -0.120098 -0.183638
1 11 -0.0685496 -0.0446654
0 12 -0.012519 -0.181397
1 12 0.00944504 -0.219502
0 13 -0.00243349 -0.165706
1 13 0.0188581 -0.204708
0 14 0.00316957 -0.15674
1 14 0.0233406 -0.197087
0 15 -0.0741527 -0.116393
1 15 -0.052861 -0.163465
0 16 -0.0427755 -0.11191
1 16 -0.0226045 -0.15674
0 17 -0.0226045 -0.0950991
1 17 -0.00243349 -0.138808
0 18 0.00316957 -0.0782879
1 18 0.0233406 -0.120876
0 19 -0.0371725 -0.0749256
1 19 -0.0187944 -0.124014
0 20 0.0513559 -0.0659597
1 20 0.0692857 -0.107427
0 21 0.147729 -0.0659597
1 21 0.165658 -0.104065
0 22 0.0547177 -0.0569937
1 22 0.0726475 -0.0973406
0 23 -0.0898412 -0.0536314
1 23 -0.0672048 -0.0944266
0 24 0.3147 -0.0435447
1 24 0.329492 -0.0809777
0 25 0.00541079 -0.0222505
1 25 0.0289436 -0.0547522
0 26 0.128678 -0.015526
1 26 0.139884 -0.0614767
0 27 -0.116736 -0.011043
1 27 -0.0954443 -0.0581144
0 28 -0.0819969 0.0102512
1 28 -0.0595847 -0.0267335
0 29 0.133161 0.015855
1 29 0.147673 -0.0244274
0 30 -0.0819969 0.0192172
1 30 -0.0618259 -0.0204573
0 30 -0.0808763 0.0237002
0 31 -0.0506198 0.0270624
1 31 -0.0315694 -0.0211297
0 32 0.263152 0.0293039
1 32 0.27884 -0.00543926
0 33 0.152211 0.0315454
1 33 0.16902 -0.00431851
0 34 -0.0752733 0.0360284
1 34 -0.0300902 0.141737
0 35 0.284443 0.0416322
1 35 0.295649 0.00352672
0 36 0.264272 0.0528396
1 36 0.279737 0.0185448
0 37 0.275478 0.0539604
1 37 0.288926 0.0147342
0 38 0.265393 0.0562019
1 38 0.27884 0.0192172
0 39 0.269875 0.0674094
1 39 0.281081 0.0279591
0 40 0.284443 0.0718924
1 40 0.29677 0.0326662
0 41 0.238498 0.0830998
1 41 0.248584 0.0382699
0 42 0.292287 0.0842206
1 42 0.303494 0.0438737
0 43 0.294529 0.0898243
